X,Y,Last_Check,Current_Particulate_Matter_2_5_,PM_2_5_10_Minute_Avg_,PM_2_5_30_Minute_Avg_,PM_2_5_1_Hour_Avg_,PM_2_5_6_Hour_Avg_,PM_2_5_24_Hour_Avg_,PM_2_5_One_Week_Avg_,Temp__F_,Humidity____,Pressure__mbar_,Site_Label,Inside_Outside,Latitude,Longitude,Uptime__Seconds_,RSSI__WiFi_signal_strength_dBm_,Hardware_Issues,Age_of_Data_at_Check__minutes_,ObjectId
-8798216.99543568,4291340.47123719,2019/08/20 18:59:05+00,5.64,9.93,13.33,15.66,18.53,17.79,15.45,101,39,1004.8,Chapel Hill Public Library,outside,35.932522,-79.035728,1576,-81,66,,10091
-8798216.99543568,4291340.47123719,2019/08/20 18:59:05+00,5.64,9.93,13.33,15.66,18.53,17.79,15.45,101,39,1004.8,Chapel Hill Public Library,outside,35.932522,-79.035728,1576,-81,126,,10092
-8798216.99543568,4291340.47123719,2019/08/20 18:59:05+00,5.64,9.93,13.33,15.66,18.53,17.79,15.45,101,39,1004.8,Chapel Hill Public Library,outside,35.932522,-79.035728,1576,-81,186,,10093
-8798216.99543568,4291340.47123719,2019/08/20 18:59:05+00,5.64,9.93,13.33,15.66,18.53,17.79,15.45,101,39,1004.8,Chapel Hill Public Library,outside,35.932522,-79.035728,1576,-81,246,,10094
-8798216.99543568,4291340.47123719,2019/08/20 18:59:05+00,5.64,9.93,13.33,15.66,18.53,17.79,15.45,101,39,1004.8,Chapel Hill Public Library,outside,35.932522,-79.035728,1576,-81,306,,10095
-8798216.99543568,4291340.47123719,2019/08/20 18:59:05+00,5.64,9.93,13.33,15.66,18.53,17.79,15.45,101,39,1004.8,Chapel Hill Public Library,outside,35.932522,-79.035728,1576,-81,366,,10096
-8798216.99543568,4291340.47123719,2019/08/20 18:59:05+00,5.64,9.93,13.33,15.66,18.53,17.79,15.45,101,39,1004.8,Chapel Hill Public Library,outside,35.932522,-79.035728,1576,-81,426,,10097
-8798216.99543568,4291340.47123719,2019/08/20 18:59:05+00,5.64,9.93,13.33,15.66,18.53,17.79,15.45,101,39,1004.8,Chapel Hill Public Library,outside,35.932522,-79.035728,1576,-81,486,,10098
-8798216.99543568,4291340.47123719,2019/08/20 18:59:05+00,5.64,9.93,13.33,15.66,18.53,17.79,15.45,101,39,1004.8,Chapel Hill Public Library,outside,35.932522,-79.035728,1576,-81,546,,10099
-8798216.99543568,4291340.47123719,2019/08/20 18:59:05+00,5.64,9.93,13.33,15.66,18.53,17.79,15.45,101,39,1004.8,Chapel Hill Public Library,outside,35.932522,-79.035728,1576,-81,606,,10100
